name,Image_URL,information,location,visiting_date,tickets
"
        Qubbat (dome) Affandina
    ",https://egymonuments.gov.eg/media/7579/ey4rtnbxgaa5qpl.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936308490000000,"Affandina dome is the second-largest burial in the world after the Taj Mahal in India. It is a unique jewel of Islamic architecture, located in the Mamluk cemetery. It displays elements typical of Mamluk architecture, although built in the late nineteenth century AD. Its founder was Amina Hanim Elhami, wife of Khedive Tawfiq. She built it to serve as a burial place for the royal family. The dome had an iron gate that betokens the greatness of this time and place. It was characterised by its floral designs. In front of it is a garden, at the centre of which is a passageway leading to the main burial and some chambers. Additionally, the structure houses a variety of artefacts, carpets, and lavish candlesticks. The dome contains many tombs, including that of Banba Qadin (one of Muhammad Alis’ wives), Amina Hanim Elhami, Khedive Muhammad Tawfiq Pasha, Khedive Abbas Helmy II, and Prince Muhammad Ali Tawfiq. The burials are covered with marble and wood, and they bear inscriptions and botanical designs which are gilded, coloured, and inlaid with ivory. The tomb of the Egyptian scholar, Doctor Ali Mustafa Mashrafa, was moved to the garden of this cemetery. The dome was restored in 2008 under the auspices of his highness former prince Abbas Helmi III. He constructed a burial place for himself so that he may be laid to rest near his ancestors. ","

 
 
 
 Mamluk Cemetery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Mamluk Cemetery
    ",https://egymonuments.gov.eg/media/7541/y_0d62ffc3-f_image_in_body.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936325570000000,"This burial ground lies to the northeast of Cairo. It was incorrectly known as the “graveyard of the caliphs” before being recognised as the Mamluk cemetery. The Eastern Cemetery is one of the most important burial sites. Kings and princes in Egypt have been buried here since the end of the fourteenth century AD. Therein they constructed mosques and khanqas, annexing their own burials to these structures. Some of these burials, dating to the fifteenth century, display the magnificence of Mamluk architecture. This cemetery houses more than twenty burial domes, nine of which are attached to mosques. Five of these domes were the burial place for sultans. The most famous of these were: the mosque and khanqa of Sultan Farag ibn Barquq; the Khanqa of Sultan Inal; the dome of Jani Bek al-Ashrafi; the dome of Qurqumas; the mosque and Khanqa of Sultan Bersbay; and the madrasa of Qayitbay.    ","

 
 
 
 Cairo
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The complex of Sultan Qayitbay in the Mamluk Cemetery.
    ","https://egymonuments.gov.eg/media/7578/tomb-mosque_of_sultan_kait_bey_from_the_ne_cairo-_egypt_-6-2528_-1908-_-_front_-_timea.jpg?center=0.53424657534246578,0.49629629629629629&mode=crop&width=645&height=423&rnd=132936310610000000","Qayitbay’s complex is one of the most magnificent architectural complexes of Islamic Egypt, representing the strength and wealth of the Mamluk period. The complex displays all the unique architectural features common in the Circassian Mamluk period. It was established by the Mamluk sultan al-Ashraf Qayitbay in 877 AH/ 1472 AD and is located in the desert amidst the Mamluk cemetery. The complex consists of a school, a sabil, and a kuttab for teaching the Quran to impoverished Muslims. There is also a private burial ground for Sultan Qayitbay’s family. The school is consisting of courtyard surrounded by four iwans, it is one of the most important establishments, both for its architecture and role in society. The engineer responsible for this structure demonstrated consistency, symmetry, and beauty in his execution of the building, paying attention to the finest details. The most important feature of the school is the main entrance, which is made of coloured marble and bears several inscriptions. The door itself was gilded in copper designs. The muezzin’s (the person who is raises azan or call for pray) name is inscribed upon the beautiful minaret. There are elaborate wooden artefacts within the school. These include a pulpit and a chair for the Qur’an reciter. Both were inlaid with ivory. The sabil-kuttab lies to the left of the school’s entrance. The sabil is characterised by its coloured marble tiles.  ","

 
 
 
 Mamluk Cemetery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Sabil-Kuttab of Nafisa al-Bayda’
    ","https://egymonuments.gov.eg/media/7510/dsc_0347.jpg?center=0.50340136054421769,0.502262443438914&mode=crop&width=645&height=423&rnd=132934577530000000","The sabil-kuttab of Nafisa Khatun is a unique example of Ottoman water fountains. It is the fifth sabil established by a woman to dispense water to the public. This sabil is located on al-Sukarya street, past the Zuweila gate and facing the mosque of al-Mu’ayyad Shaykh. It was built in 1211 AH/ 1796 AD, as is indicated on the marble slab above the façade’s central window. The sabil was built in the distinctive Ottoman design, it is semi-circular with three copper windows. Attached to the sabil is a kuttab (school) where children, often poor or orphaned, memorised the Qur’an. A marble plaque above its door reads, “the Prophet, peace be upon him, said, ‘the best of you is the one who learns and teaches the Qur’an.    ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNER: 
Adult: EGP 20 / Student: EGP 10

EGYPTIANS\ ARABS: 
Adult: EGP 10 /Student: EGP 5
 
"
"
        Samiha Kamil Palace
    ",https://egymonuments.gov.eg/media/7495/23ca754d-17c7-4801-b12e-a67cf8b04e3d.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132820521890000000,"It is located in Zamalek, Cairo, and was built in 1320 AH / 1902 AD. This palace is unique from its other historical counterparts. The palace’s patron, princess Samiha daughter of Sultan Hussin Kamil, loved the arts and willed that the palace be converted into a cultural center. In 1995 the palace converted into Cairo Library. The palace’s architecture was inspired by an Andalusian style. It consists of a basement, three floors, four facades, and a circular tower that resembles those of war castles in the Middle Ages. The decorative motifs of the palace bear the influence of Andalusian, Moroccan, Ottoman, Renaissance arts, Greek and Roman architecture and decoration styles. A circular hall on the third floor was used as a studio for Princess Samiha.   ","

 
 
 
 Cairo
 
 
",24 hours daily,free
"
        Prince Taz Palace
    ",https://egymonuments.gov.eg/media/7494/%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D9%8A%D8%B1-%D8%B7%D8%A7%D8%B2.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936322270000000,"This palace is located on al-Suyufiyya Street in the al-Khalifah neighborhood. It was commissioned by Prince “Sayf al-Din Taz”,Dawadar of Sultan al-Saleh Ibn al-Nassir Mohamed Ibn Qalaun, deputy of Aleppo, in 753 AH / 1352 AD. It is one of the finest and most beautiful examples of Bahari Mamluk palace architecture. It is also the largest in area. Its most important characteristic is the seat which overlooking the large inner courtyard and its beautifully decorated halls. The ceilings are decorated with geometric and plant motifs, while the walls bear bands that record the titles of the Emir and his emblem, the cup which indicates to his job. The ceiling of one of the halls is decorated with an inscription band consisting Persian calligraphy from passages from Imam al-Busiri’s Burda (poem in praise of Prophet Muhammad, God bless him and grant him peace), executed in white color.  ","

 
 
 
 Al-Suyufiyya Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Tomb of Amenemhat
    ","https://egymonuments.gov.eg/media/7274/%D8%AA%D9%85%D8%AB%D8%A7%D9%84-%D8%A7%D9%85%D9%86%D9%85%D8%AD%D8%A7%D8%AA-%D9%88%D8%B3%D9%8A%D8%B1%D8%AA%D9%87-%D8%A7%D9%84%D8%B0%D8%A7%D8%AA%D9%8A%D8%A9%D8%A8%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%A7%D9%85%D9%86%D9%85%D8%AD%D8%A7%D8%AA-statue-of-amenmhat-and-his-biography-ooo.jpg?center=0.45180722891566266,0.50678733031674206&mode=crop&width=645&height=423&rnd=132936339960000000","Amenemhat was the last to hold the title of nomarch (governor) of the Oryx nome. He held this position for around 25 years, during the reign of the 12th Dynasty king, Senusret I (c.1965–1920 BC). Similar to Khnumhotep II’s tomb, the entrance into Amenemhat’s tomb chapel is in the form of a portico with two columns and surrounded by a forecourt reached by way of a causeway running up the hill. Hence, its course can still be seen thanks to the boulders on either side of it. Inside the tomb chapel, a shrine cut into the east wall, facing the doorway, contains a statue of Amenemhat, his wife Hetepet, and his mother Henu. The tomb of Amenemhat has some of the finest decorations of all the tombs at Beni Hasan. This includes scenes depicting activities of daily life such as agriculture, fishing, and fowling, and the practicing of various crafts and professions including carpentry, sandal making, pottery, bows and arrows. Particularly, the ceiling of the tomb chapel is striking. In each segment, along largely yellow rectangle bearing a hieroglyphic inscription runs through the center, representing a wooden beam. Its midsection is flanked by a yellow and red check pattern contained in a rectangle, which is itself surrounded on its two opposing sides by a pattern imitating matting. Surrounding this entire arrangement are red and yellow squares containing quatrefoils. ","

 
 
 
 Beni Hasan
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Khnumhotep II
    ","https://egymonuments.gov.eg/media/7273/%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%AE%D9%86%D9%88%D9%85-%D8%AD%D8%AA%D8%A8-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-khnumhotep-ii-tomb-ooo.jpg?center=0.42519685039370081,0.502262443438914&mode=crop&width=645&height=423&rnd=132936339350000000","Khnumhotep II was Overseer of the Eastern Desert under Kings Amenemhat II and Senusret II (c.1911–1870 BC) in the Middle Kingdom. The entrance to Khnumhotep’s tomb chapel is in the form of a portico with two columns, and is set in a forecourt. The forecourt itself was once reached by a long causeway that ran up the hill and whose course can still be seen thanks to the boulders on either side of it. The portico has two fluted columns. These columns are in the proto-Doric style, so called due to its resemblance to the much later Ancient Greek Doric column style. The chapel contains two burial shafts and was designed with two rows of two columns, probably laid out in square formation around the centre of the tomb chapel and ending in front of the statue shrine. Khnumhotep’s life is recorded in 222 columns of text which run across the lower section of the chapel walls. On either side of the statue shrine, painted scenes also show him fishing and fowling in the marshes. The most famous scene in this tomb, however, is on the north wall, to the left of the entrance: a delegation of 37 ‘Amu (people who lived to the east and north-east of Egypt) consisting of men, women, and children dressed in beautiful, colorful clothing bringing eye-paint to Khnumhotep. The head of the delegation has his own caption, which gives us his name, Absha, and which describes him as a heqa khaset – ruler of a foreign land. This is the oldest known example of the word that is far better known today in its Greek form, Hyksos. On the west wall, on your left directly after entering the tomb chapel, you will notice a fascinating scene depicting three monkeys helping fruit gatherers collect figs from the tree! ","

 
 
 
 Beni Hasan
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Baqet III
    ","https://egymonuments.gov.eg/media/7272/%D9%85%D8%A4%D8%AF%D9%88%D8%A7-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%A8%D8%A7%D9%82%D8%AA-acrobats-scene%D8%A7%D9%84%D8%A8%D9%87%D9%84%D9%88%D8%A7%D9%86%D9%8A%D8%A9-ooo.jpg?center=0.3401360544217687,0.44796380090497739&mode=crop&width=645&height=423&rnd=132936338390000000","This tomb belongs to Baqet III, the son of Remushen, both of whom were nomarchs (governors) of the 16th Upper Egyptian nome, known as the Oryx nome, (c.2055–1956 BC) in the Middle Kingdom. It consists of a forecourt leading to the tomb which gives access to the chapel. There, a small shrine was added in the south-eastern corner (at the far end, on the right), with a false door carved on its west wall and an offering platform in front of it. The walls of the tomb, like those of others tombs at Beni Hasan, have a decorative frieze at the top, which the ancient Egyptians called a kheker. As is standard for tombs in the upper cemetery at Beni Hasan, the north wall (the one left of the entrance) depicts scenes of hunting in the desert. This same wall, as in the tomb of Khety, depicts scenes of everyday life: here, barbers, sandal makers, goldsmiths, spinners, and weavers can all be seen, in addition to a scene showing tax collection, in which defaulters are being brought by force before a scribe. Also interesting is the lowest register which, alongside fishing, depicts different species of fish and flying creatures, mostly birds, but bats, too. More animals can be seen on the south wall, where a cat is facing a mouse, and below them, accompanied by a male monkey, a female monkey is carrying a young monkey on her back. Two baboons can also be seen next to the monkeys. The east wall of the tomb depicts a battle and a besieged fortress, and 220 pairs of wrestlers. In each pair, one wrestler is painted red and the other dark brown, so that the interaction between the two men can be seen clearly.   ","

 
 
 
 Beni Hasan
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Khety
    ","https://egymonuments.gov.eg/media/7271/%D8%AE%D9%8A%D8%AA%D9%8A-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D8%A9-%D9%85%D9%86-%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%AE%D9%8A%D8%AA%D9%8A-khety-and-his-wife-aaa.jpg?crop=0,0.29481481481481481,0,0.26797588285960372&cropmode=percentage&width=645&height=423&rnd=132936337600000000","Khety was the nomarch (governor) of the 16th Upper Egyptian nome. His tomb dates to (c.2055–1956 BC) in the Middle Kingdom. It consists of a forecourt leading to the entrance and a room which originally had two rows of three columns with lotus capitals. Only one column in each row survives intact today. The walls of this tomb bear many interesting painted scenes. Upon entering the tomb, one is immediately struck by the wrestling scenes on the east wall, wrestlers are seen in various positions and in military trainings in preparation to storm castles and fortresses. Facing the entrance: 122 pairs of wrestlers in five registers (sections) are locked in combat, no two in the same position. Below them, the beleaguered defenders of a fortress are fighting off their attackers. The north wall (to the left of the entrance) depicts, as is usual for the tombs in the upper cemetery at Beni Hasan, scenes of wild animal hunting in the desert. In the registers below these, depictions of barbers, carpentry, a scene of a statue being sculpted of the deceased and his wife alongside scenes of funeral rituals, and spinning and weaving can all be seen, in addition to scenes of men playing board games, and young women juggling and performing acrobatics. All of these activities are presided over by Khety and his wife, who can be seen further down this wall. The south wall also depicts the wine making process, and scenes of listening to music and performing different sports.   ","

 
 
 
 Beni Hasan
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Red Pyramid
    ","https://egymonuments.gov.eg/media/7227/g75a3107.jpg?center=0.37414965986394561,0.579185520361991&mode=crop&width=645&height=423&rnd=132741979130000000","The Red Pyramid is the highest in Dahshur, and its name of “Red” is due to the reddish rusty colour of its stones. It didn’t use to be this colour, but a beautiful pure white of limestone of Tura, south of modern Cairo. All pyramids had a casing made of this white limestone, which was reused in medieval times. It is the third-largest Egyptian pyramid after those of Khufu and Khafra at Giza. The Red Pyramid was one of three pyramids built by King Sneferu after the Bent Pyramid, located one kilometre to the south, and the so-called Meidum pyramid. This pyramid may have been started in the 13th year of his reign, taking 10 years to be built. The visitor can enter the pyramid from an entrance on the northern side, leading to a passageway (a meter in height and a meter in width). It then slopes down to another gallery into a chamber with a corbelled roof, similar to an inverted stairway. Another passage leads to a second chamber located in the middle of the pyramid, directly at the western end of that chamber. To the south of it, a passageway leads to a third chamber, which is believed to have been the pyramid’s burial chamber.  ","

 
 
 
 Dahshur
 
 
",24 hours daily,free
"
        The Bent Pyramid
    ","https://egymonuments.gov.eg/media/7226/g75a3113.jpg?crop=0.13389830508474576,0,0.10338983050847457,0.24951675443496255&cropmode=percentage&width=645&height=423&rnd=132741979570000000","The Bent Pyramid is one of the pyramids built by King Sneferu, the first king of the 4th dynasty. It was called “bent” because of its broken lines due to a change of angle, an engineering issue in its design. Indeed, the pyramid construction began at an angle of 55 degrees but had to be adjusted to 43 degrees due to an overload in stones resulting in instability. Despite their adjustments, the King’s designers made a new pyramid at a short distance, in Meidum, the Red Pyramid. The first angle of the Bent Pyramid suggests the transition phase between the Step-pyramid design of King Djoser in Saqqara and the later smooth-faced pyramids. The Bent Pyramid has two entrances, one on the north side, with modern wooden stairs, and the other is high on the west side. Each entrance leads to a chamber with a corbelled roof, giving this gradual effect. The northern entrance chamber is below ground level. As for the western entrance chamber, it is built higher up in the body of the Bent Pyramid.   ","

 
 
 
 Dahshur
 
 
",24 hours daily,free
"
        The Southern Tomb  
    ","https://egymonuments.gov.eg/media/7167/20210601_160956-copy.jpg?center=0.48514851485148514,0.54074074074074074&mode=crop&width=645&height=423&rnd=132936354730000000","The South tomb is located at the southwestern corner of the King Djoser funeral complex dating to the 3rd Dynasty, Old Kingdom period. This magnificent complex is the oldest stone building of the ancient world. Basically, it was named the “Southern Tomb” following its discovery by the English archaeologist Cecil Malaby Firth in 1928. Significantly, the tomb is composed of an upper level in the form of a rectangular stone building. Its walls are decorated with a series of stone sockets in the form of entrances and exits, crowned by a frieze of cobra heads that symbolize protection and power. Regarding the lower level of the tomb represents an entrance towards a ramp leading to the burial chamber, which is located at the bottom of a great shaft measuring 7.5 x 7.5 m, and with a depth of approximately 31 m, including a huge sarcophagus made of 16 blocks of pink granite, each measuring approximately 3.60 metres high, 3.5 metres wide, and 3.6 metres long.  Furthermore, one can note the similarity between the well and the sarcophagus with those inside the step pyramid. One of the most important architectural and decorative elements of the Southern Tomb are a series of corridors, one of which contains three false doors, each topped with exquisite reliefs depicting the king taking part in the Heb-Sed Festival. This was a vital event, a royal jubilee, with the aim to rejuvenate the king and renew his right to rule. One can admire the king here being represented wearing the royal beard, as well as the White Crown of Upper Egypt, and several walls of the southern tomb’s corridors are decorated with the same blue faience tiles into the step pyramid. Various theories have been proposed about this tomb, as it is believed that it belonged to the royal wife of the king, or that it was built in order to house the internal organs of the king (lungs, stomach, intestines and liver).","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
