name,Image_URL,information,location,visiting_date,tickets,type
"
        Sabil-Kuttab of Nafisa al-Bayda’
    ","https://egymonuments.gov.eg/media/7510/dsc_0347.jpg?center=0.50340136054421769,0.502262443438914&mode=crop&width=645&height=423&rnd=132934577530000000","The sabil-kuttab of Nafisa Khatun is a unique example of Ottoman water fountains. It is the fifth sabil established by a woman to dispense water to the public. This sabil is located on al-Sukarya street, past the Zuweila gate and facing the mosque of al-Mu’ayyad Shaykh. It was built in 1211 AH/ 1796 AD, as is indicated on the marble slab above the façade’s central window. The sabil was built in the distinctive Ottoman design, it is semi-circular with three copper windows. Attached to the sabil is a kuttab (school) where children, often poor or orphaned, memorised the Qur’an. A marble plaque above its door reads, “the Prophet, peace be upon him, said, ‘the best of you is the one who learns and teaches the Qur’an.    ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNER: 
Adult: EGP 20 / Student: EGP 10

EGYPTIANS\ ARABS: 
Adult: EGP 10 /Student: EGP 5
 
",monuments
"
        Samiha Kamil Palace
    ",https://egymonuments.gov.eg/media/7495/23ca754d-17c7-4801-b12e-a67cf8b04e3d.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132820521890000000,"It is located in Zamalek, Cairo, and was built in 1320 AH / 1902 AD. This palace is unique from its other historical counterparts. The palace’s patron, princess Samiha daughter of Sultan Hussin Kamil, loved the arts and willed that the palace be converted into a cultural center. In 1995 the palace converted into Cairo Library. The palace’s architecture was inspired by an Andalusian style. It consists of a basement, three floors, four facades, and a circular tower that resembles those of war castles in the Middle Ages. The decorative motifs of the palace bear the influence of Andalusian, Moroccan, Ottoman, Renaissance arts, Greek and Roman architecture and decoration styles. A circular hall on the third floor was used as a studio for Princess Samiha.   ","

 
 
 
 Cairo
 
 
",24 hours daily,free,monuments
"
        Prince Taz Palace
    ",https://egymonuments.gov.eg/media/7494/%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D9%8A%D8%B1-%D8%B7%D8%A7%D8%B2.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936322270000000,"This palace is located on al-Suyufiyya Street in the al-Khalifah neighborhood. It was commissioned by Prince “Sayf al-Din Taz”,Dawadar of Sultan al-Saleh Ibn al-Nassir Mohamed Ibn Qalaun, deputy of Aleppo, in 753 AH / 1352 AD. It is one of the finest and most beautiful examples of Bahari Mamluk palace architecture. It is also the largest in area. Its most important characteristic is the seat which overlooking the large inner courtyard and its beautifully decorated halls. The ceilings are decorated with geometric and plant motifs, while the walls bear bands that record the titles of the Emir and his emblem, the cup which indicates to his job. The ceiling of one of the halls is decorated with an inscription band consisting Persian calligraphy from passages from Imam al-Busiri’s Burda (poem in praise of Prophet Muhammad, God bless him and grant him peace), executed in white color.  ","

 
 
 
 Al-Suyufiyya Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        The Bent Pyramid
    ","https://egymonuments.gov.eg/media/7226/g75a3113.jpg?crop=0.13389830508474576,0,0.10338983050847457,0.24951675443496255&cropmode=percentage&width=645&height=423&rnd=132741979570000000","The Bent Pyramid is one of the pyramids built by King Sneferu, the first king of the 4th dynasty. It was called “bent” because of its broken lines due to a change of angle, an engineering issue in its design. Indeed, the pyramid construction began at an angle of 55 degrees but had to be adjusted to 43 degrees due to an overload in stones resulting in instability. Despite their adjustments, the King’s designers made a new pyramid at a short distance, in Meidum, the Red Pyramid. The first angle of the Bent Pyramid suggests the transition phase between the Step-pyramid design of King Djoser in Saqqara and the later smooth-faced pyramids. The Bent Pyramid has two entrances, one on the north side, with modern wooden stairs, and the other is high on the west side. Each entrance leads to a chamber with a corbelled roof, giving this gradual effect. The northern entrance chamber is below ground level. As for the western entrance chamber, it is built higher up in the body of the Bent Pyramid.   ","

 
 
 
 Dahshur
 
 
",24 hours daily,free,monuments
"
        Statue of Queen Meritamun
    ","https://egymonuments.gov.eg/media/6979/dsc_419eeee3.jpg?center=0.30131004366812225,0.47368421052631576&mode=crop&width=645&height=423&rnd=132936343780000000","Meritamun “the beloved of the god Amun” was the fourth daughter of the 19th Dynasty king Ramesses II, who ruled between c.1279–1213 BC. Her mother was the famous Queen Nefertari, and after her death, she also became a Great Royal Wife of Ramesses II.
This colossal pink granite statue weighs an astonishing 80 tons and stands at 9 meters in height. It was discovered by the joint mission of the Supreme Council of Antiquities and the University of Potsdam, Germany in 2001.
Although this statue was built during the reign of Ramesses II, it was later reinscribed by the 22nd Dynasty King Osorkon II (c.874–838 BC) for his wife Karomama, both of whose names can be seen on the back of this statue.
​    ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Palace of King Amenemhat III
    ","https://egymonuments.gov.eg/media/6977/00eee.jpg?center=0.59803921568627449,0.44736842105263158&mode=crop&width=645&height=423&rnd=132936342160000000","In 1960, archeologist Shafiq Farid discovered the remains of a large palace complex made out of mud brick. The palace dates to the 12th Dynasty (c.1991–1803 BC), of the Middle Kingdom. The excavation works have continued by the archaeologists Ahmed el-Sawi, and followed by Mohammed Ibrahim Bakr in the late 1970s, 1980s and 1990s. It was believed that the palace was the residence of king Amenemhat III when he was in Per Bastet, or of the mayors of the city and the governors of the province, due to the sheer size of the palace, which ranges at around 16,000 square meters. One can also find a wonderful limestone door lintel discovered inside, which shows king Amenemhat III (c.1860–1815 BC) taking part in his Heb Sed Festival. The palace included columned porch, colonnaded courtyards, wide halls, and also what appears to be a large kitchen featuring several ovens.","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Sabil of Muhammad Ali in al-‘Aqadin
    ",https://egymonuments.gov.eg/media/6919/1-sabil-from-outside.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934561400000000,"Muhammad Ali Pasha established it in 1236 AH / 1820 AD in memory of his son, Prince Ahmed Tousun Pasha, who died in Rosetta in 1231 AH / 1861 AD. He was buried in the cemeteries of the Muhammd Ali family in al-Imam al-Shafi’i. This sabil is located in the al-Aqadin area on al-Mu’izz Street. It consists of a sabil (water fountain) and kuttab (school) surmounted by several rooms in two levels. The Sabil was established for a charitable purpose as it provides passersby with water. The sabil was built in the distinctive Ottoman style, the façade is semi-circular with five copper windows, and the marble decorations and oil paintings on the façade were executed in the Baroque and Rococo style. The façade was also decorated with verses of poetry written in the Ottoman Turkish language.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 20 / Student: EGP 10

EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
",monuments
"
        Mosque-Sabil of Sulayman Agha al-Silahdar
    ",https://egymonuments.gov.eg/media/7019/untitled.png?anchor=center&mode=crop&width=645&height=423&rnd=132936327950000000,"The architectural complex of Prince Sulayman Agha Al-Silehdar is located in al-Mu’izz Street. Prince Sulayman Agha Al-Silahdar, one of the princes of Muhammad Ali Pasha, established it in 1255 AH / 1839 AD. He came to Egypt as a young man and steadily rose in rank until he took over the Salhadaria, a charge over weaponry. By his architectural complex he was able to secure a place for himself among the great kings. His architectural complex includes mosque, Sabil (drinking fountain) and Kuttab (school) unparalleled in Islamic architecture. The most important characteristic of the building is its stone façade with floral motifs. It reflects the influence of European Renaissance art, with its marble decorations and oil paintings on the wooden ceilings in Ottoman style that influenced by European arts at this time. The mosque’s minaret can be seen from the beginning of al-Mu’izz Street. It is characteristic of the Ottoman “pencil” minarets. The Sabil also includes basins for street animals to drink as a manifestation of benevolence.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Sultan al-Mu'ayyad Mosque
    ","https://egymonuments.gov.eg/media/6917/2-main-facade.jpg?center=0.36559139784946237,0.51111111111111107&mode=crop&width=645&height=423&rnd=132809336060000000","The mosque is located in al-Mu’izz Street, adjacent to Bab Zuwaila. It was founded by Sultan Al-Mu’ayyad Sheikh in 818 AH / 1415 AD. The mosque itself consists of a main open courtyard surrounded by four canopies, the largest of which is the positioned towards qibla (prayer direction). The walls are paneled with marble and the wooden pulpit is inlayed with ivory and mother of pearl. The inscriptions on it give the name and titles of Sultan al-Mu’yyad. The mosque was characterized by its unique construction, whereby its two minarets were built over another monument, Bab Zuweila, which dates to the Fatimid period and is adjacent to the mosque. Together, they formed a wonderful architectural unit. The western minaret bears the name of the mosque’s founder, and the other records the name Muhammad ibn al-Qazzaz, the minaret's employee. Among the wonderful antiques that adorn this mosque is the large entrance door, which bears the name of Sultan Hassan. The Sultan moved this entrance from the Sultan Hasan Madrasa to this mosque It is one of the most beautiful wooden doors paneled with copper. ","

 
 
 
 Al-Mu'izz Street
 
 
",24 hours daily,free,monuments
"
        Aswan Cemetery
    ","https://egymonuments.gov.eg/media/6910/dsc_0044.jpg?center=0.50142450142450146,0.5&mode=crop&width=645&height=423&rnd=132756689580000000","Located on the eastern side of the city, this is one of the oldest cemeteries in the Muslim world. It consists of two grave sites, one on the north and the other on the south. The dry climate contributed to the cemetery’s preservation, which dates to the second-century AH and was in use until the Mamluk period. The cemettrey has witnessed the first attempt to build domes above mausoleums in Egypt during the Fatimid period. Among the most important buildings in the cemetery; dome of seventy seven Waly(sheikh), Mashhad (mausoleum) of al-Sharif Hassan, Mashhad of al-Sharif Hedra, Mashhad of Abbasa Bnt Khadyj, Mashhad of al-Sada al-Ga’afera, Mashhad of Zainab Bnt al-Hanafyya, Mashhad of Sayeda Aamna in the southern cemetery.   ","

 
 
 
 Aswan
 
 
",24 hours daily,free,monuments
"
        Imam al-Shafi’i Mosque
    ","https://egymonuments.gov.eg/media/6446/whatsapp-image-2020-11-21-at-51428-pm-1.jpeg?crop=0,0,0,0.13991612657262667&cropmode=percentage&width=645&height=423&rnd=132936375990000000",It was built by Abd al-Rahman Katkhuda in the year ( 1176 AH / 1762-1763 AD ) and remained unchanged until Khedive Tawfiq Pasha ordered to renewal it in the year ( 1309-1310 AH / 1891-1892 AD ).    ,"

 
 
 
 Al-Fustat (Old Cairo)
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        The Red Monastery
    ","https://egymonuments.gov.eg/media/5881/%D8%A7%D9%84%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%B1.jpg?center=0.35714285714285715,0.5&mode=crop&width=645&height=423&rnd=132393731640000000","The Red Monastery is located 21 kilometres west of Sohag province. It is considered one of the most important monasteries established during Christianity’s early history. Because of the red bricks that make up most of its masonry, it is known as the Red Monastery. White limestone was employed in the building’s construction as well as were several pink and black granite columns. The monastery was founded by Saint Bishoy in the beginning of the fourth century AD, but suffered of two fires, the first was during the Roman Period, and the second was as a result of Berber attacks. All that remains of the Red Monastery is its church and surrounding fortification walls to the south. Remains of a structure north of the church also survived and are thought to belong to an industrial area. The main church is composed of a long rectangular space composed of three wings. The middle wing is the largest of the three. A church known as the “Church of the Virgin Mary” is attached to its south-west corner. On its eastern end, the monastery’s church terminates in a tripartite structure decorated with murals done with tempera paint depicting Biblical scenes that include Jesus Christ, the Virgin Mary, the Four Gospels, and the Apostles.
The fort occupies the area south of the church, to which its structures are attached. It likely dates to the reign of Empress Helena.
It is a roughly square building that consists of four floors, the ground and first floors of baked bricks, and the top two of simple sun-dried mud brick. The fort itself contains several units that allowed the monks to reside in it for long stretches of time, including a church, cells, a storage room, and a water source. ","
It is located about 12 km west of Sohag.",24 hours daily,free,monuments
"
        Baron Empain Palace
    ","https://egymonuments.gov.eg/media/5808/whatsapp-image-2020-03-10-at-124128-pm-2.jpeg?center=0.5,0.502262443438914&mode=crop&width=645&height=423&rnd=132934579370000000","Baron Empain's palace, with its Indian style, and its tower stands out in the desert landscape, is distinct from the rest of the city. The palace reflects the high status of its owner and marks a major milestone in the urban landscape of Heliopolis. Baron Empain's palace is the most prominent Monuments in the capital, its unique and innovative image attracting crowds of pedestrians on the road. It was founded by Edward Louis Joseph Empain between 1907 and 1911. He was a Belgian businessman who was awarded the title ""Baron"" by the King of Belgium, on account of his economic contributions. The French architect Alexander Marcel was tasked with building this masterpiece. The interior design of the palace consists of three floors topped by a roof. The palace is surrounded by a large garden from all sides. As for the basement, it contained a residence for the palace's servants, and consisted of a group of rooms connected by corridors and doors. The palace building is surrounded by a spiral staircase and an elevator that connects all the palace floors with a basement.
The ground floor consists of a reception room, a dining room, and a billiard room. As for the first floor, it houses four rooms, each with its own balcony and bathroom.  Finally, the roof of the palace comes as an open space on one of the sides of the tower, characteristic of the Baron Palace.   ","

 
 
 
 Cairo
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100 / Student: EGP 50
EGYPTIANS/ARABS:
Adult: EGP 30 / Student: EGP 10

- The Roof
Foreigners: EGP 50
Egyptians: EGP 30 
-Photo shot tickets (by camera ) :
Camera:EGP 50 \ Camera Stand: EGP 30 
- Photo Session:EGP 800
 
",monuments
"
        Bab Zuwayla
    ","https://egymonuments.gov.eg/media/3473/img_20180225_105844.jpg?crop=0,0.12558139534883711,0,0&cropmode=percentage&width=645&height=423&rnd=132934578000000000","Bab Zuwayla, with its impressive dimensions, perfect stone masonry, and graceful twin minarets rising from its round-fronted towers, is one of Cairo’s most iconic monuments. It is the only remaining gate of the southern wall of the city’s Fatimid phase. It opens onto the historic al‑Mu’izz Street, which leads to Bab al‑Futuh at its northern end. Built by the Fatimid vizier and commander‑in‑chief, Badr al‑Jamali, in 480 AH/1092 AD, it defined Cairo’s new southernmost extent, displacing the original, brick, Bab Zuwayla (now lost). Its builder, the Fatimid commander of the armies, was Jawhar al‑Siqilli, who conquered Egypt and founded Cairo. Among his troops were members of the eponymous tribe of Zuwayla, who were quartered near the gate. The minarets were not added until 818 AH/1415 AD, when the Mamluk Sultan al‑Mua'yyad Shaykh built a mosque next to Bab Zuwayla.           Bab Zuwayla was also known as Bawabbat al‑Mitwalli, because the mitwalli al‑hesba, the official in charge of finances and tax collection, was based here. According to local folklore, the spirit of al‑Mitwalli ""one of the righteous friends of Allah"", resides in this area, and performs miracles.           Bab Zuwayla witnessed the end of Mamluk rule when the Ottoman Sultan, Selim I, hanged the last Mamluk Sultan, Tumanbay in 922 AH/1517 AD.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 40 / Student: EGP 10
EGYPTIANS/ARABS:
Adult: EGP 10 / Student: EGP 5
 
",monuments
"
        Bayt Al-Suhaymi (""House of Suhaymi"")
    ",https://egymonuments.gov.eg/media/3407/dsc_0328.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934578510000000,"The house is located in al-Darb Al-Asfar lane in al-Gamaliyya in al-Mu’izz street. It is one of the most beautiful examples of Cairo’s domestic architecture. It consists of several buildings overlooking a sizeable picturesque courtyard. The facades are plotted with wonderful wooden mashrabiyyas (wooden grilled windows). The house also contains a large Meqead (seated balcony) and a furnished reception hall. Shaykh Abd al-Wahhab al-Tablawi established this house in 1058 AH / 1648 AD. The second and later section was set by Haji Ismail Chelebi in 1211 AH / 1796 AD. Shaykh Shihab al-Din Ahmad al-Suhaimi bought it in 1228 AH / 1813 AD. He was a senior scholar of al-Azhar University and the Shaykh of the Turkish riwaq in the Ottoman Period. The house is named after him.    In 1349 AH / 1931 AD, al-Suhaimi’s heirs sold this house to the Committee for the Preservation of Arab Antiquities for the sum of six thousand pounds.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 80 / Student: EGP 40
EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
",monuments
"
        Al-Aqmar Mosque
    ",https://egymonuments.gov.eg/media/1247/1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936368150000000,"Al-Aqmar mosque is located on al‑Mu’izz Street, and was commissioned by the Fatimid Caliph al‑‘Amir bi‑Ahkam Allah in 519 AH / 1125 AD. The mosque’s construction was supervised by the Vizier al‑Ma’mun al‑Bata’ihi, and it was renewed during the reign of Sultan Barquq in 799 AH / 1397 AD under the supervision of the governor Yalbugha al‑Salmi.           The main façade of the mosque is presently the oldest surviving stone façade. Its architecture is characterized by its intricate stone carvings and the repetition of the phrase “Muhammad and Ali”, in addition to Qur’anic verses written in the Kufic script. The engineer’s ingenuity is most manifest in his ability to orient the façade to the street, whilst maintaining the direction of prayer inside the mosque.           When the Coptic Museum was built in the twentieth century, its façade was influenced by al‑Aqmar Mosque’s architecture, but with Biblical verses and Christian iconography. The mosque consists of an open courtyard at its center surrounded by four riwaqs (arcades) topped by shallow domes, the largest of which marks the qibla, the direction of prayer. An inscription above the mihrab (niche in the wall of a mosque marking the qibla) records the renovations that were undertaken by Yalbugha al‑Salmi.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
