name,image,information,location,type
"
 Surgical scalpel
","https://egymonuments.gov.eg/media/7713/%D9%85%D8%B4%D8%B1%D8%B71.png?crop=0,0,0.12199306486884873,0&cropmode=percentage&width=645&height=423&rnd=132850022430000000","A surgical scalpel with a long handle tends in a sharp blade; the blade is less thick and less narrow than the handle. Excavations which took place in the city of Fustat – the first capital of Islamic Egypt established by Amr ibn al-'As in the year AH 21 / AD 641 – revealed a large cache of surgical instruments, considered to be the oldest extant of their kind. This collection demonstrates Islamic Egypt's remarkable progress in the fields of medicine and surgery.","
 Museum of Islamic Art
",Artifact
"
 Private Alay
","https://egymonuments.gov.eg/media/7712/whatsapp-image-2020-11-01-at-104854-am.jpeg?crop=0.2466994167304721,0,0.21123640287056869,0.4671763886585471&cropmode=percentage&width=645&height=423&rnd=132847615560000000","This special Alay carriage (alayis, a Turkish word means ""regiment"" or ""battalion"") is a type of carriage named ""Berline"" after the city from which this carriage had been originated. It was a gift from French Emperor Napoleon III and his wife Empress Eugenie to Khedive Ismail on the occasion of the Suez Canal inauguration in 1869.","
 The Royal Carriages Museum 
",Artifact
"
 Holy Qura'n
","https://egymonuments.gov.eg/media/7128/%D9%85%D8%B5%D8%AD%D9%81.jpg?crop=0.10263910806615116,0.1392635932601011,0.072582344973705568,0.11348270759796097&cropmode=percentage&width=645&height=423&rnd=132657668260000000",     ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 Illustrated manuscript
","https://egymonuments.gov.eg/media/7127/%D9%85%D8%AE%D8%B7%D9%88%D8%B7-%D9%85%D8%B5%D9%88-%D8%B1.jpg?crop=0.10810810810810811,0.11999422464093749,0.13175675675675674,0.16478737054071094&cropmode=percentage&width=645&height=423&rnd=132657661740000000",     ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 The Book of Esther
","https://egymonuments.gov.eg/media/7126/%D8%B3%D9%81%D8%B1-%D8%A7%D8%B3%D8%AA%D9%8A%D8%B1.jpg?crop=0.15366020184930823,0.1563144548060002,0.13348319163328251,0.23659966377288413&cropmode=percentage&width=645&height=423&rnd=132657658200000000",     ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 Pocket watch
","https://egymonuments.gov.eg/media/7125/%D8%B3%D8%A7%D8%B9%D8%A9-%D8%AC%D9%8A%D8%A8.jpg?crop=0,0.15884304409435693,0,0.18091515126843719&cropmode=percentage&width=645&height=423&rnd=132657654910000000",      ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 Jug and basin
","https://egymonuments.gov.eg/media/7124/%D8%A5%D8%A8%D8%B1%D9%8A%D9%82-%D9%88%D8%B7%D8%B3%D8%AA.jpg?center=0.4041095890410959,0.5&mode=crop&width=645&height=423&rnd=132657643830000000",    ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 A bust of a young man
","https://egymonuments.gov.eg/media/7123/img-20210507-wa0004.jpg?center=0.29746835443037972,0.54716981132075471&mode=crop&width=645&height=423&rnd=132657632830000000",       ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 Funerary stela
","https://egymonuments.gov.eg/media/7122/%D9%84%D9%88%D8%AD%D8%A9-%D8%AC%D9%86%D8%A7%D8%A6%D8%B2%D9%8A%D8%A9.jpg?center=0.47183098591549294,0.5&mode=crop&width=645&height=423&rnd=132657629310000000",       ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 The upper part of a royal statue
","https://egymonuments.gov.eg/media/7120/%D8%AA%D8%AD%D8%AA%D9%85%D8%B3-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB.jpg?center=0.29585798816568049,0.46052631578947367&mode=crop&width=645&height=423&rnd=132657615160000000",      ,"
 Cairo International Airport Museum - Terminal 2
",Artifact
"
 Servant statue of man grinding grain
",https://egymonuments.gov.eg/media/6872/6j7a0200.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132586509540000000,"Bread was a staple food in ancient Egypt, as it continues to be today. The dead, just like the living, needed a steady supply of food to survive, so it is not surprising thatmany of the servant statuettes discovered in tombs are involved in the various stages of making bread, just like this one. Some are depicted kneading dough, and others baking bread, but before these steps, the grain had first to be ground. This particular statuette depicts a man performing this crucial activity. The presence of this first step in the bread making process could thus stand in for the whole, guaranteeing that the deceased would have all the bread he needed for eternity.","
 Hurghada Museum 
",Artifact
"
 Canopic Jars of Isetemkheb
","https://egymonuments.gov.eg/media/6866/6j7a0345.jpg?crop=0.14008277618592807,0.18148510327569939,0.14358484559057616,0.1884065627793963&cropmode=percentage&width=645&height=423&rnd=132586506800000000","During the mummification process, certain organs of the deceased, namely the liver, lungs, intestines and stomach, would be mummified, wrapped separately and then placed in four “canopic” jars.","
 Hurghada Museum 
",Artifact
"
 Offering Table of Thutmose III
","https://egymonuments.gov.eg/media/6865/6j7a1319.jpg?crop=0.15653538812785392,0.28238077876079859,0.15853310502283091,0.27843521750423378&cropmode=percentage&width=645&height=423&rnd=132586484450000000","For the ancient Egyptians, the gods and the dead had the same needs as the living, and had to be provided constantly with food and libations. An early manifestation of this belief is the offering table, a stone slab where various food items and drinks could be placed for consumption by the deceased or the divine.","
 Hurghada Museum 
",Artifact
"
 Statue of Meritamun (The “White Queen”)
","https://egymonuments.gov.eg/media/6864/07-10-19_hurgada-museum_0059_nero.jpg?crop=0,0.10708855196660075,0,0.23450363579688588&cropmode=percentage&width=645&height=423&rnd=132586442650000000","A masterpiece of Egyptian art, this statue has been identified as Meritamun, the daughter of Ramses II and his Great Wife. Although her name is missing here, the titles and epithets are the same as those on a statue of this princess (who became her father’s Great Wife after the death of her mother) found at Akhmim.","
 Hurghada Museum 
",Artifact
"
 Mosque lamp 
","https://egymonuments.gov.eg/media/1164/upload_product_entity_db_product_mainimage_c9cd95d54c203d9c81be15f61b22b6cc.jpg?crop=0,0.07956104252400549,0,0.13778032985612654&cropmode=percentage&width=645&height=423&rnd=132581519700000000","  Mosque lamp containing the name , titles and the symbol of Prince Shaykhu One of the princes of Sultan Hassan. The neck is decorated with Naskh inscription, containing a Qur'anic verse from  Surat Al-Nur "" the Light"". ","
 Museum of Islamic Art
",Artifact
"
 The celebration halls(Bayt Amna bint salim) 
","https://egymonuments.gov.eg/media/6463/6-celebrations-hall.jpg?center=0.55263157894736847,0.45925925925925926&mode=crop&width=645&height=423&rnd=132581519700000000","The celebration halls are among the most beautiful and important halls of the museum, as they contain wooden furniture, metal antiques, a wooden ceiling and wooden cabinets.","
 Gayer Anderson Museum
",Artifact
"
 Haramlek(Bayt Amna bint salim).
",https://egymonuments.gov.eg/media/1182/dsc_8998.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000,"The hall contains chairs, an oval table, a mashrabiya, and some cupboards that contain many glass artifacts, porcelain dishes, a hanging carpet and some inscriptions.","
 Gayer Anderson Museum
",Artifact
"
 Damascene Hall( Bayt Amna bint salim).
",https://egymonuments.gov.eg/media/1185/2-damascene-hall.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000,"The hall was distinguished by a room dating back to a Damascene palace that contained a bed, chairs, and a copper table with movable wooden legs. The hall was flogged with wood decorated with inscriptions, house drawings and flowered plants, and the hall had a number of metal artifacts.","
 Gayer Anderson Museum
",Artifact
"
 Muhammad Ali Hall( Bayt Amna bint salim).
",https://egymonuments.gov.eg/media/1188/%D8%A8%D9%8A%D8%AA-%D8%A2%D9%85%D9%86%D8%A9-%D8%A8%D9%86%D8%AA-%D8%B3%D8%A7%D9%84%D9%85-%D9%82%D8%A7%D8%B9%D8%A9-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D9%84%D9%89.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000,"This hall contains a salon and two cupboards in which decorated glass crafts, some metal artifacts, chairs, small tables, a chandelier, and a picture of Muhammad Ali.","
 Gayer Anderson Museum
",Artifact
"
 Queen Anne Hall( Bayt Amna bint salim).
",https://egymonuments.gov.eg/media/6488/%D8%A8%D9%8A%D8%AA-%D8%A2%D9%85%D9%86%D8%A9-%D8%A8%D9%86%D8%AA-%D8%B3%D8%A7%D9%84%D9%85-%D9%82%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D9%83%D8%A9-%D8%A2%D9%86.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000,"It contains a wooden dining table with wooden chairs, some wooden cupboards, metal candlesticks and a small metal statue.","
 Gayer Anderson Museum
",Artifact
"
 Necklace - Governor Mohammed Ali Pasha 
","https://egymonuments.gov.eg/media/1246/f7-02-07l.jpg?center=0.67213114754098358,0.17073170731707318&mode=crop&width=645&height=423&rnd=132581519690000000"," A gold “Mohammed Ali Pasha” collar, consisting of 16 decorative motives; eight having the inscription “Mohammed Ali” and eight in the shape of gold flower with diamonds.","
 Royal Jewelry Museum
",Artifact
"
 Statue of the Dwarf Seneb and his Family 
","https://egymonuments.gov.eg/media/1280/emjg4vlxgaev7f.jpg?crop=0.09932055634612269,0.0900426258368229,0.1012294652390273,0.21295948053342015&cropmode=percentage&width=645&height=423&rnd=132581519690000000","This group statue of the dwarf Seneb and his family was found in a naos in his mastaba tomb in Giza. Seneb is represented seated, with his legs crossed, beside his wife who embraces him affectionately. His wife is of normal height. For the sake of the symmetry of the composition, the sculptor carves the couple’s two children where Seneb’s legs would have been, had he been of the same height as his wife. The children are represented naked, with their index finger in their mouth–the standard manner in which children were typically depicted in art. The boy is seen on the viewer’s left, wearing a sidelock of youth and depicted in skin that is darker than his sister’s, who stands on his left. The sidelock of youth was typically worn by male children, and was cut off at puberty.","
 The Egyptian Museum
",Artifact
"
 Statue of Mentuhotep
","https://egymonuments.gov.eg/media/1290/montuhotep.jpg?center=0.2857142857142857,0.51851851851851849&mode=crop&width=645&height=423&rnd=132581519690000000","Mentuhotep Nebheptre, the king who unified Upper and Lower Egypt for the second time after King Narmer. He is depicted wearing the Red Crown and the tight fitting costume of the Sed festival, a jubilee celebrated after 30 years of a reign. His black skin and the position of his crossed arms associate him with the god Osiris, god of death, fertility, and resurrection. The statue was found by chance in 1900 by Howard Carter as he rode through the forecourt of Mentuhotep’s mortuary temple at Deir al-Bahari, when his horse tripped on something. Upon investigation, this turned out to be a stone slab covering a shaft. Carter excavated it, and discovered a small chamber containing the statue intricately wrapped in linen, along with other artifacts.", The Egyptian Museum,Artifact
"
 Pitcher Belonging to Tabtaq
",https://egymonuments.gov.eg/media/1386/271174427_665311167810148_6316734871679706987_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132859706810000000,"A jug made of copper inlayed with silver with decorations and inscriptions in the Naskh script, represented in the titles of the owner of the jug, including “what he did in the order of the headquarters of the honorable high Mawlawi al-Adli al-Ghazi al-Mujahideen al-Murabati al-Makhdudumi al-Saifi Tabaq al-Malik al-Ashrafy.” He is one of the princes of King al-Ashraf Khalil bin Qalawun. It appears on the jug (logos). It bears the drawing of a cup denoting the job of the water- supplier or the drinker - the one responsible for the Sultan’s drinkies . Tabtaq became governor of the city of Qus in Upper Egypt, and the jug has a neck adorned with three ribbons, the middle of which bears Du’aa writing, and it was also provided with a lid with two hinges and a strainer placed inside it. It’s found in excavations of Qus in Upper Egypt.","
 Museum of Islamic Art
",Artifact
"
 The Mummy of Masaharti
","https://egymonuments.gov.eg/media/1480/1.jpg?center=0.6071428571428571,0.72619047619047616&mode=crop&width=645&height=423&rnd=132581519680000000","General of the army, and high priest of Amun at Thebes. He was the son of king piedjem I. His mummy was found in the royal cache at Deir El Bahri in 1881. The mummy of Masaharti was perfected, show the high standard for the art of mummification during Dynasty 21, the face was painted with red ocher, and the middle finger of the right hand still has it’s gold finger cap.","
 Mummification Museum
",Artifact
"
 Canopic Jars
","https://egymonuments.gov.eg/media/1485/12.jpg?center=0.14285714285714285,0.40875912408759124&mode=crop&width=645&height=423&rnd=132581519680000000","In the mummification process, organs were removed to allow the preservation of the body. At the same time, the deceased needed them for his afterlife. For this reason, the four most important organs, aside from the heart, were embalmed separately, and stored in four corresponding vessels, called canopic jars. These were the liver, lungs, stomach, and intestines. They came to be placed under the protection of one deity each, collectively known as the Four Sons of Horus, each of whom was depicted with the head of a different animal: Imsety (human) who was responsible for the liver, Hapy (baboon) for the lungs, and Duamutef (jackal) and Qebehsenuef (falcon) for the stomach and intestines respectively.","
 Mummification Museum
",Artifact
"
 A wooden model of a Funerary boat
","https://egymonuments.gov.eg/media/1511/80.jpg?crop=0,0.104,0,0.1090232558139534&cropmode=percentage&width=645&height=423&rnd=132581519680000000","Boats were used to transport the mummy to the cemetery on the western bank of Nile. The coffin was accompanied by relatives and Funerary Priests, including two women, representing Isis and Nephthys.","
 Mummification Museum
",Artifact
"
 Statue and mummy of a cat 
","https://egymonuments.gov.eg/media/1526/4.jpg?center=0.17582417582417584,0.44525547445255476&mode=crop&width=645&height=423&rnd=132581519680000000","Statue and mummy of a cat , the sacred amimal of the goddess Bastet . her cult became extremely important during the late period , especially in Tell Basta (zagazig ) – the statue : Sycamore wood – gurna .","
 Mummification Museum
",Artifact
"
 Ram Mummy
","https://egymonuments.gov.eg/media/1559/dsc_0889.jpg?center=0.48648648648648651,0.48979591836734693&mode=crop&width=645&height=423&rnd=132581519670000000","Rams were sacred to Khnum, a creator god who was often shown shaping people on a potter's wheel before they were born. He was depicted as a ram‑headed man. As part of his animal cult, this spectacular mummy, encased in cartonnage (layers of linen drenched in plaster) that has been shaped like a ram with a brightly painted front and a gilded head, was dedicated to Khnum on Elephantine Island, his main cult center.","
 Mummification Museum
",Artifact
"
 Tonneau Carriage
","https://egymonuments.gov.eg/media/1853/5.jpg?center=0.39892183288409705,0.45698924731182794&mode=crop&width=645&height=423&rnd=132581519670000000","Tonneau Carriage for driving His Highness Prince Farouk, Prince of Upper Egypt, 1922-1936.","
 The Royal Carriages Museum 
",Artifact
"
 Iron Sufis hand-bag “Kashkoul”
",https://egymonuments.gov.eg/media/2458/upload_product_entity_db_product_mainimage_e4cd683c21d24d90b69a59440047b44d.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132485646460000000,"Iron Sufis hand-bag “Kashkoul” Iran – Safavid, 11- 12th A.H/ 17-18th A.D Century. ","
 Museum of Islamic Art
",Artifact
"
 Icon of Saint Antony and Saint Paul
","https://egymonuments.gov.eg/media/2666/g75a3519.jpg?center=0.37398373983739835,0.51219512195121952&mode=crop&width=645&height=423&rnd=132581519660000000","This famous icon represents the visit of Saint Antony (on the left) to Saint Paul, who lived  in the eastern desert near the Red Sea.","
 The Coptic Museum
",Artifact
"
 The Piper's Curtain 
","https://egymonuments.gov.eg/media/2678/g75a3596.jpg?crop=0,0.055555555555555552,0,0.12467700258397925&cropmode=percentage&width=645&height=423&rnd=132581519660000000",A Curtain decorated with a piper and on the left vertical panel of warriors and dancers depicted on.,"
 The Coptic Museum
",Artifact
"
 Decorated niche of Virgin Mary 
","https://egymonuments.gov.eg/media/2683/1.jpg?crop=0,0.23182409817776126,0,0.32917808989249914&cropmode=percentage&width=645&height=423&rnd=132581519660000000",Decorated  Niche of Virgin Mary suckling  the infant Jesus.,"
 The Coptic Museum
",Artifact
"
 Narmer Palette
","https://egymonuments.gov.eg/media/2744/palettee.jpg?crop=0.088753275152030964,0.098456128338768184,0.11470751500736706,0.060102966772102334&cropmode=percentage&width=645&height=423&rnd=132581519660000000","The Narmer Palette contains some of the earliest hieroglyphic inscriptions ever found. It is thought to depict the unification of Upper and Lower Egypt under King Narmer. On one side, the king, wearing the Red Crown of Lower Egypt, marches in a victory procession. Below him, the necks of two mythical animals, called serpopards, intertwine, while being restrained by human figures. They are thought to represent Upper and Lower Egypt being brought under the king's control. On the other side, the king is depicted wearing the White Crown of Upper Egypt, about to smite a Lower Egyptian chief. This image of the king smiting an enemy would become iconic of ancient Egyptian kingship, and was still carved on the very last ancient Egyptian temples ever constructed.","
 The Egyptian Museum
",Artifact
"
 Khufu Statue
","https://egymonuments.gov.eg/media/2787/kh.jpg?crop=0,0.1458854166666666,0.0000000000000003789561257387,0.36225411821705444&cropmode=percentage&width=645&height=423&rnd=132581519660000000","This statue depicts King Khufu (known to the Greeks as Cheops), the builder of the Great Pyramid of Giza. Ironically, this small, 7.5‑cm‑tall, statuette is the only confirmed contemporary three‑dimensional of this king. When it was first discovered, the head was missing. Noticing that the break was recent, Sir Flinders Petrie, aware of the importance of the find, ordered a search for the missing head, which was finally discovered three weeks later.","
 The Egyptian Museum
",Artifact
"
 Statue of Ka-aper
","https://egymonuments.gov.eg/media/2803/kaaper-1.jpg?crop=0,0.13098782138024359,0,0.42973219624256526&cropmode=percentage&width=645&height=423&rnd=132581519650000000","The number of wooden statues that survived from ancient Egypt is very small, compared to their stone counterparts. The reasons behind this are that the quality of local wood was poor. High-quality wood, such as cedar, had to be imported from places like Lebanon. Another reason is that wood does not survive the as well as stone. Many wooden statues probably disintegrated through time.","
 The Egyptian Museum
",Artifact
"
 Statue of an elephant
","https://egymonuments.gov.eg/media/2819/pocket-watch-with-chain.jpg?center=0.50420168067226889,0.5056179775280899&mode=crop&width=645&height=423&rnd=132866311840000000","A unique masterpiece and there is no other piece of it that was dedicated to King Farouk of the Shah of Iran (Mohammed Reza Pahlavi), the first husband of Princess Fawzia, sister of King Farouk.It is an ivory elephant statue with a gold saddle, topped by a gold hedge, both of which are inlaid with precious stones such as pearl and sapphire. Gold, in the middle of it is a light blue stone inlaid with pearls, and around the neck of the elephant is a chain of gold hanging a bell, and the tusks of the elephant are made of ivory, the tip of which is covered with a layer of gold..

Date :Mohammed Ali dynasty","
 Royal Jewelry Museum
",Artifact
"
 Set of Queen Farida
","https://egymonuments.gov.eg/media/3045/1.jpg?center=0.57843137254901966,0.5036496350364964&mode=crop&width=645&height=423&rnd=132581519650000000","Set made of platinum and gold 18 Kt, crown consists of five flowers arranged according to size, and the biggest one is set in the middle.Date :Mohammed Ali dynasty

Medium : platinum and gold 

Provenance :Egypt","
 Royal Jewelry Museum
",Artifact
"
 Psalter
","https://egymonuments.gov.eg/media/3557/027_cu0275.jpg?center=0.33027522935779818,0.48780487804878048&mode=crop&width=645&height=423&rnd=132581519640000000",The first complete version of the Psalter had been found in a cemetery dates back to early Christianity. It was placed under a child mummy.,"
 The Coptic Museum
",Artifact
"
 St. Jeremiah’s Pulpit
","https://egymonuments.gov.eg/media/3558/g75a3666.jpg?crop=0.0018813205936432883,0,0.09508479445757835,0.0000000000000001926136336497&cropmode=percentage&width=645&height=423&rnd=132581519640000000","Ambon, known as “Jeremiah’s Pulpit”.","
 The Coptic Museum
",Artifact
"
 Khafre Statue
","https://egymonuments.gov.eg/media/3725/1.jpg?center=0.5,0.5036496350364964&mode=crop&width=645&height=423&rnd=132581519640000000","This statue depicts King Khafre (Khefren to the Greeks), the builder of the second largest pyramid at Giza. It was found in the valley temple of his pyramid complex. The king is majestically seated on a throne with all the confidence of a man who built a mountain. The two sides of his throne are decorated with the sema-tawy, symbol of the unity of Upper and Lower Egypt, signifying his rule over the two halves of the country. Perched on the back of the throne, behind the king's head, the god Horus in the form of a falcon spreads his wings around the king's head in a gesture of protection.","
 The Egyptian Museum
",Artifact
"
 Masks of Yuya and Thuya
","https://egymonuments.gov.eg/media/3726/47812430471_12726d6288_b.jpg?crop=0,0,0.0359502403382016,0.034243047463187071&cropmode=percentage&width=645&height=423&rnd=132581519640000000","The mummies of Yuya and Thuya were discovered wearing these cartonnage masks covered with gold leaf. Yuya was the father of Queen Tiye, wife of king Amenhotep III, and husband of Thuya. Yuya came from the town of Akhmim, where he probably held estates and where he was a priest of the Egyptian god Min, the chief god of the area. Thuya held important religious titles, in addition to the title of the Royal Mother of the Great Wife of the King.","
 The Egyptian Museum
",Artifact
"
 Menkaura triads
","https://egymonuments.gov.eg/media/4111/untitled-9.jpg?center=0.1875,0.43859649122807015&mode=crop&width=645&height=423&rnd=132581519600000000","Group statue of king Menkaura. This sculpted group statue, shows King «Menkaure» between two ladies. The goddess «Hathor» is on his right and goddess (Bat), is on his left. He wears the crown of Upper Egypt (The white crown). Goddess «Hathor» wears her usual crown, composed of the sun disk between the two cow's horns, while the other lady is wearing the symbol of her nome.

Provenance: Giza, Valley Temple of Menkaure.

Date: Old Kingdom, Dynasty 4, Reign of Menkaure (ca. 2494-2472 BC).

Medium: Grey-green Schist.","
 The Egyptian Museum
",Artifact
"
A collection of Medal","https://egymonuments.gov.eg/media/4345/f7-01-03l.jpg?center=0.41584158415841582,0.51111111111111107&mode=crop&width=645&height=423&rnd=132581519590000000","A collection of Medalmade of diffrent materials .

Date:  Mohammad Ali dynasty 

Mideum: Glod -Silver -Gemstones

Provinence:Egypt .",Royal Jewelry Museum,Artifact
"
Golden Chess Set
",https://egymonuments.gov.eg/media/4351/15.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132865514030000000,"This luxurious chess set consists of 32 chess pieces inlaid with 425 stones from diamonds and decorated with colored enamel. The chess pieces take the form of humans and animals. The human pieces reflect the rank of their chess counterparts, with the king piece representing the person of a ruler, and the pawns riflemen. The bases of the pieces bear colored enamel paintings of historic personalities and buildings.

Date: Muhammed Ali Dynasty, King Faruq (1936–1952 AD).

Medium: Gold, precious stones.

Provenance: Iran.","
 Royal Jewelry Museum
",Artifact
"
 Door of silver laminated wood 
","https://egymonuments.gov.eg/media/4369/door3.jpg?crop=0.0088652482269504854,0,0,0&cropmode=percentage&width=645&height=423&rnd=132581519590000000",A door of silver laminated wood dating back to the era of the family of Muhammad Ali 13th A.H - 19th A.D century.,"
 Museum of Islamic Art
",Artifact
"
 Household utensils
",https://egymonuments.gov.eg/media/4392/s14-14l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519590000000,"A collection of household utensils from gold and diamonds         Date : Mohammed Ali dynasty

Medium: gold and diamonds

Provenance :Egypt","
 Royal Jewelry Museum
",Artifact
"
 Astrolabe, Compass, Celestial sphere
","https://egymonuments.gov.eg/media/4477/img_4193.jpg?crop=0,0.016393442622950821,0,0.00065355917433680851&cropmode=percentage&width=645&height=423&rnd=132581519580000000","Astrolabe, copper alloy, inlaid with gold and silver,
bearing the name Sultan Bayezid
9th AH/15th AD century-Turkey","
 Museum of Islamic Art
",Artifact
"
 Set of princess Shivakiar
",https://egymonuments.gov.eg/media/4478/2.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000,"Set made of platinum and diamond consist of crown, earring.","
 Royal Jewelry Museum
",Artifact
"
 Golden set of collection Malak Tosson
",https://egymonuments.gov.eg/media/4486/f10-03-07l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000,"Golden set consists of brush, cups and sword decorated with floral motifs and the letter “M”. ","
 Royal Jewelry Museum
",Artifact
"
 Luxurious Desk Set
","https://egymonuments.gov.eg/media/4496/%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87.jpg?center=0.45454545454545453,0.51006711409395977&mode=crop&width=645&height=423&rnd=132581519580000000","This luxurious desk set consists of three gold inkwells, one gold vessel for the sponge, one double pen case, one pair steel scissors, one ebony ruler pen, one envelope opener, one vessel for sand stones. These items go in a wooden box is decorated with 166 brilliant diamonds.","
 Royal Jewelry Museum
",Artifact
"
 Qibla finder of wood 
","https://egymonuments.gov.eg/media/4517/1_edit_2.jpg?crop=0,0.0059683062358506216,0.0000000000000003789561257387,0&cropmode=percentage&width=645&height=423&rnd=132581519580000000",Qibla finder of wood lacqatuered painted wood.,"
 Museum of Islamic Art
",Artifact
"
 Collection of Watches 
",https://egymonuments.gov.eg/media/4518/s16-02-22l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000,"A collection of pocket watches made of gold in different shapes, some with pictures of people, others with names and other decorations.","
 Royal Jewelry Museum
",Artifact
